category;no;indicator_code;criteria;answer;max_score;calculated_score;evidence_required;colored
Setting and Infrastructure (SI);1.1;N/A;Types of higher education institution;[1] Comprehensive;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.1;N/A;Types of higher education institution;[2] Specialized higher education institution;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[1] Tropical wet;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[2] Tropical wet and dry;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[3] Semiarid;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[4] Arid;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[5] Mediterranean;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[6] Humid subtropical;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[7] Marine west coast / oceanic climate;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[8] Humid continental;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[9] Subarctic;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.3;N/A;Number of campus sites;Provide number;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.4;N/A;Campus setting;[1] Rural;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.4;N/A;Campus setting;[2] Suburban;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.4;N/A;Campus setting;[3] Urban;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.4;N/A;Campus setting;[4] City center;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.5;N/A;Total campus area (m2);Provide number;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.6;N/A;Total campus ground floor area of buildings (m2);Provide number;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.7;N/A;Total campus buildings area (m2);Provide number;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.8;SI1;The ratio of open space area to total area;[1] ? 1%;200;0.05x200;Yes;N/A
Setting and Infrastructure (SI);1.8;SI1;The ratio of open space area to total area;[2] > 1 - 80%;200;0.25x200;Yes;N/A
Setting and Infrastructure (SI);1.8;SI1;The ratio of open space area to total area;[3] > 80 - 90%;200;0.50x200;Yes;N/A
Setting and Infrastructure (SI);1.8;SI1;The ratio of open space area to total area;[4] > 90 - 95%;200;0.75x200;Yes;N/A
Setting and Infrastructure (SI);1.8;SI1;The ratio of open space area to total area;[5] > 95%;200;1.00x200;Yes;N/A
Setting and Infrastructure (SI);1.9;SI2;Total area on campus covered in forest vegetation used for research, teaching, and/or community engagement;[1] ? 2%;100;0.05x100;Yes;N/A
Setting and Infrastructure (SI);1.9;SI2;Total area on campus covered in forest vegetation used for research, teaching, and/or community engagement;[2] > 2 - 10%;100;0.25x100;Yes;N/A
Setting and Infrastructure (SI);1.9;SI2;Total area on campus covered in forest vegetation used for research, teaching, and/or community engagement;[3] > 10 - 25%;100;0.50x100;Yes;N/A
Setting and Infrastructure (SI);1.9;SI2;Total area on campus covered in forest vegetation used for research, teaching, and/or community engagement;[4] > 25 - 35%;100;0.75x100;Yes;N/A
Setting and Infrastructure (SI);1.9;SI2;Total area on campus covered in forest vegetation used for research, teaching, and/or community engagement;[5] > 35%;100;1.00x100;Yes;N/A
Setting and Infrastructure (SI);1.10;SI3;Total area on campus covered in planted vegetation;[1] ? 10%;200;0.05x200;Yes;N/A
Setting and Infrastructure (SI);1.10;SI3;Total area on campus covered in planted vegetation;[2] > 10 - 20%;200;0.25x200;Yes;N/A
Setting and Infrastructure (SI);1.10;SI3;Total area on campus covered in planted vegetation;[3] > 20 - 30%;200;0.50x200;Yes;N/A
Setting and Infrastructure (SI);1.10;SI3;Total area on campus covered in planted vegetation;[4] > 30 - 50%;200;0.75x200;Yes;N/A
Setting and Infrastructure (SI);1.10;SI3;Total area on campus covered in planted vegetation;[5] > 50%;200;1.00x200;Yes;N/A
Setting and Infrastructure (SI);1.11;N/A;Total number ofo regular students;Provide number;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.12;N/A;Total online students;Provide number;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.13;N/A;Total academic and administrative staff;Provide number;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.14;SI4;The total open space area divided by the total campus population;[1] ? 10  m²/person;200;0.05x200;No;N/A
Setting and Infrastructure (SI);1.14;SI4;The total open space area divided by the total campus population;[2] > 10 - 20  m²/person;200;0.25x200;No;N/A
Setting and Infrastructure (SI);1.14;SI4;The total open space area divided by the total campus population;[3] > 20 - 40  m²/person;200;0.50x200;No;N/A
Setting and Infrastructure (SI);1.14;SI4;The total open space area divided by the total campus population;[4] > 40 - 70  m²/person;200;0.75x200;No;N/A
Setting and Infrastructure (SI);1.14;SI4;The total open space area divided by the total campus population;[5] > 70  m²/person;200;1.00x200;No;N/A
Setting and Infrastructure (SI);1.15;SI5;Campus facilities for disabled special needs and/or maternity care;[1] None;100;0x100;Yes;N/A
Setting and Infrastructure (SI);1.15;SI5;Campus facilities for disabled special needs and/or maternity care;[2] Policy is in place;100;0.25x100;Yes;N/A
Setting and Infrastructure (SI);1.15;SI5;Campus facilities for disabled special needs and/or maternity care;[3] Facilities are in the planning stage;100;0.50.x100;Yes;N/A
Setting and Infrastructure (SI);1.15;SI5;Campus facilities for disabled special needs and/or maternity care;[4] Facilities are partially available and operated;100;0.75x100;Yes;N/A
Setting and Infrastructure (SI);1.15;SI5;Campus facilities for disabled special needs and/or maternity care;[5] Facilities exist in all buildings and are fully operated;100;1.00x100;Yes;N/A
Setting and Infrastructure (SI);1.16;SI6;Security and safety facilities;[1] Passive security and safety system;100;0x100;Yes;N/A
Setting and Infrastructure (SI);1.16;SI6;Security and safety facilities;[2] Security and safety infrastructure (CCTV, emergency hotline/button) available and fully functioning;100;0.25x100;Yes;N/A
Setting and Infrastructure (SI);1.16;SI6;Security and safety facilities;[3] Security and safety infrastructure (CCTV, emergency hotline/button, certified personnel, fire extinguisher, hydrant) available and fully functioning;100;0.50x100;Yes;N/A
Setting and Infrastructure (SI);1.16;SI6;Security and safety facilities;[4] Security and safety infrastructure available and fully functioning and security responding time for accidents, crime, fire, and natural disasters is more than 5 minutes;100;0.75x100;Yes;N/A
Setting and Infrastructure (SI);1.16;SI6;Security and safety facilities;[5] Security and safety infrastructure available and fully functioning and security responding time for accidents, crime, fire, and natural disasters is less than 5 minutes;100;1.00x100;Yes;N/A
Setting and Infrastructure (SI);1.17;SI7;Health infrastructure facilities for students, academics and administrative staffs' well-being;[1] Health infrastructure (first aid) is not available;100;0x100;Yes;N/A
Setting and Infrastructure (SI);1.17;SI7;Health infrastructure facilities for students, academics and administrative staffs' well-being;[2] Health infrastructure (first aid, emergency room, clinic and personnel ) are available;100;0.25x100;Yes;N/A
Setting and Infrastructure (SI);1.17;SI7;Health infrastructure facilities for students, academics and administrative staffs' well-being;[3] Health infrastructure (first aid, emergency room, clinic, and certified personnel) are available;100;0.50x100;Yes;N/A
Setting and Infrastructure (SI);1.17;SI7;Health infrastructure facilities for students, academics and administrative staffs' well-being;[4] Health infrastructure (first aid, emergency room, clinic, hospital and certified personnel) are available;100;0.75x100;Yes;N/A
Setting and Infrastructure (SI);1.17;SI7;Health infrastructure facilities for students, academics and administrative staffs' well-being;[5] Health infrastructure available (first aid, emergency room, clinic, hospital and certified personnel), system and accessible for public;100;1.00x100;Yes;N/A
Setting and Infrastructure (SI);1.18;SI8;Conservation: plant (flora), animal (fauna), or wildlife, genetic resources for food and agriculture secured in either medium or long-term conservation facilities;[1] Conservation program in preparation;100;0.05x100;Yes;N/A
Setting and Infrastructure (SI);1.18;SI8;Conservation: plant (flora), animal (fauna), or wildlife, genetic resources for food and agriculture secured in either medium or long-term conservation facilities;[2] Conservation program 1 25% implemented;100;0.25x100;Yes;N/A
Setting and Infrastructure (SI);1.18;SI8;Conservation: plant (flora), animal (fauna), or wildlife, genetic resources for food and agriculture secured in either medium or long-term conservation facilities;[3] Conservation program 25 50% implemented;100;0.50x100;Yes;N/A
Setting and Infrastructure (SI);1.18;SI8;Conservation: plant (flora), animal (fauna), or wildlife, genetic resources for food and agriculture secured in either medium or long-term conservation facilities;[4] Conservation program 50 75% implemented;100;0.75x100;Yes;N/A
Setting and Infrastructure (SI);1.18;SI8;Conservation: plant (flora), animal (fauna), or wildlife, genetic resources for food and agriculture secured in either medium or long-term conservation facilities;[5] Conservation program >75% implemented;100;1.00x100;Yes;N/A
Setting and Infrastructure (SI);1.19;N/A;Impact of Setting and Infrastructure programs in supporting the Sustainable Development Goals (SDGs).;[1] Low impact (supporting 1–2 SDGs);N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.19;N/A;Impact of Setting and Infrastructure programs in supporting the Sustainable Development Goals (SDGs).;[2] Moderate impact (supporting 3–5 SDGs);N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.19;N/A;Impact of Setting and Infrastructure programs in supporting the Sustainable Development Goals (SDGs).;[3] Significant impact (supporting 6–9 SDGs);N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.19;N/A;Impact of Setting and Infrastructure programs in supporting the Sustainable Development Goals (SDGs).;[4] High impact (supporting 10–13 SDGs);N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.19;N/A;Impact of Setting and Infrastructure programs in supporting the Sustainable Development Goals (SDGs).;[5] Very high impact (supporting 14–17 SDGs);N/A;N/A;Yes;N/A
Energy and Climate Change (EC);2.1;EC1;Energy efficient appliances usage;[1] < 1%;200;0.05x200;Yes;N/A
Energy and Climate Change (EC);2.1;EC1;Energy efficient appliances usage;[2] 1 - 25%;200;0.25x200;Yes;N/A
Energy and Climate Change (EC);2.1;EC1;Energy efficient appliances usage;[3] > 25 - 50%;200;0.50x200;Yes;N/A
Energy and Climate Change (EC);2.1;EC1;Energy efficient appliances usage;[4] > 50 - 75%;200;0.75x200;Yes;N/A
Energy and Climate Change (EC);2.1;EC1;Energy efficient appliances usage;[5] > 75%;200;1.00x200;Yes;N/A
Energy and Climate Change (EC);2.2;N/A;Total campus' smart building area (m2);Provide number;N/A;N/A;No;N/A
Energy and Climate Change (EC);2.3;EC2;Smart building implementation;[1] < 1%;300;0.05x300;Yes;N/A
Energy and Climate Change (EC);2.3;EC2;Smart building implementation;[2] 1 - 25%;300;0.25x300;Yes;N/A
Energy and Climate Change (EC);2.3;EC2;Smart building implementation;[3] > 25 - 50%;300;0.50x300;Yes;N/A
Energy and Climate Change (EC);2.3;EC2;Smart building implementation;[4] > 50 - 75%;300;0.75x300;Yes;N/A
Energy and Climate Change (EC);2.3;EC2;Smart building implementation;[5] > 75%;300;1.00x300;Yes;N/A
Energy and Climate Change (EC);2.4;EC3;Number of renewable energy sources on campus;[1] None;300;0x300;No;N/A
Energy and Climate Change (EC);2.4;EC3;Number of renewable energy sources on campus;[2] 1 source;300;0.25x300;No;N/A
Energy and Climate Change (EC);2.4;EC3;Number of renewable energy sources on campus;[3] 2 sources;300;0.50x300;No;N/A
Energy and Climate Change (EC);2.4;EC3;Number of renewable energy sources on campus;[4] 3 sources;300;0.75x300;No;N/A
Energy and Climate Change (EC);2.4;EC3;Number of renewable energy sources on campus;[5] > 3 sources;300;1.00x300;No;N/A
Energy and Climate Change (EC);2.5;N/A;Renewable energy sources and their amount of the energy produced;[1] None;N/A;N/A;Yes;N/A
Energy and Climate Change (EC);2.5;N/A;Renewable energy sources and their amount of the energy produced;[2] Bio diesel;N/A;N/A;Yes;N/A
Energy and Climate Change (EC);2.5;N/A;Renewable energy sources and their amount of the energy produced;[3] Clean biomass;N/A;N/A;Yes;N/A
Energy and Climate Change (EC);2.5;N/A;Renewable energy sources and their amount of the energy produced;[4] Solar power;N/A;N/A;Yes;N/A
Energy and Climate Change (EC);2.5;N/A;Renewable energy sources and their amount of the energy produced;[5] Geothermal;N/A;N/A;Yes;N/A
Energy and Climate Change (EC);2.5;N/A;Renewable energy sources and their amount of the energy produced;[6] Wind power;N/A;N/A;Yes;N/A
Energy and Climate Change (EC);2.5;N/A;Renewable energy sources and their amount of the energy produced;[7] Hydropower;N/A;N/A;Yes;N/A
Energy and Climate Change (EC);2.5;N/A;Renewable energy sources and their amount of the energy produced;[8] Combined Heat and Power;N/A;N/A;Yes;N/A
Energy and Climate Change (EC);2.6;N/A;Electricity usage per year (in kilowatt hours);Provide number;N/A;N/A;Yes;N/A
Energy and Climate Change (EC);2.7;EC4;Total electricity usage divided by total campus' population (kWh per person);[1] ? 2400 kWh;200;0.05x200;No;N/A
Energy and Climate Change (EC);2.7;EC4;Total electricity usage divided by total campus' population (kWh per person);[2] > 1500 - 2400 kWh;200;0.25x200;No;N/A
Energy and Climate Change (EC);2.7;EC4;Total electricity usage divided by total campus' population (kWh per person);[3] > 600 - 1500 kWh;200;0.50x200;No;N/A
Energy and Climate Change (EC);2.7;EC4;Total electricity usage divided by total campus' population (kWh per person);[4] > 250 - 600 kWh;200;0.75x200;No;N/A
Energy and Climate Change (EC);2.7;EC4;Total electricity usage divided by total campus' population (kWh per person);[5] < 250 kWh;200;1.00x200;No;N/A
Energy and Climate Change (EC);2.8;EC5;The ratio of renewable energy production divided by total energy usage per year;[1] ? 0.5%;200;0.05x200;Yes;N/A
Energy and Climate Change (EC);2.8;EC5;The ratio of renewable energy production divided by total energy usage per year;[2] > 0.5 - 1%;200;0.25x200;Yes;N/A
Energy and Climate Change (EC);2.8;EC5;The ratio of renewable energy production divided by total energy usage per year;[3] > 1 - 2%;200;0.50x200;Yes;N/A
Energy and Climate Change (EC);2.8;EC5;The ratio of renewable energy production divided by total energy usage per year;[4] > 2 - 25%;200;0.75x200;Yes;N/A
Energy and Climate Change (EC);2.8;EC5;The ratio of renewable energy production divided by total energy usage per year;[5] > 25%;200;1.00x200;Yes;N/A
Energy and Climate Change (EC);2.9;EC6;Elements of green building implementation as reflected in all buildings;[1] None (There is no green building implementation in your university);200;0x200;Yes;N/A
Energy and Climate Change (EC);2.9;EC6;Elements of green building implementation as reflected in all buildings;[2] 1 element;200;0.25x200;Yes;N/A
Energy and Climate Change (EC);2.9;EC6;Elements of green building implementation as reflected in all buildings;[3] 2 elements;200;0.50x200;Yes;N/A
Energy and Climate Change (EC);2.9;EC6;Elements of green building implementation as reflected in all buildings;[4] 3 elements;200;0.75x200;Yes;N/A
Energy and Climate Change (EC);2.9;EC6;Elements of green building implementation as reflected in all buildings;[5] > 3 elements;200;1.00x200;Yes;N/A
Energy and Climate Change (EC);2.10;EC7;Greenhouse gas emission reduction program;[1] None (Reduction program is needed, but nothing has been done);200;0x200;Yes;N/A
Energy and Climate Change (EC);2.10;EC7;Greenhouse gas emission reduction program;[2] Program in preparation;200;0.25x200;Yes;N/A
Energy and Climate Change (EC);2.10;EC7;Greenhouse gas emission reduction program;[3] Program(s) aims to reduce one out of three scopes emissions (Scope 1 or 2 or 3);200;0.50x200;Yes;N/A
Energy and Climate Change (EC);2.10;EC7;Greenhouse gas emission reduction program;[4] Program(s) aims to reduce two out of three scopes emissions (Scope 1 and 2 or Scope 1 and 3 or Scope 2 and 3);200;0.75x200;Yes;N/A
Energy and Climate Change (EC);2.10;EC7;Greenhouse gas emission reduction program;[5] Program(s) aimed to reduce all three scopes emissions (Scope 1, 2 and 3);200;1.00x200;Yes;N/A
Energy and Climate Change (EC);2.11;N/A;Total carbon footprint (CO? emission in the last 12 months, in metric tons);Provide number;N/A;N/A;Yes;N/A
Energy and Climate Change (EC);2.12;EC8;Total carbon footprint divided by total campus' population (metric tons per person);[1] ? 2.05 metric tons;200;0.05x200;No;N/A
Energy and Climate Change (EC);2.12;EC8;Total carbon footprint divided by total campus' population (metric tons per person);[2] > 1.11 - 2.05 metric tons;200;0.25x200;No;N/A
Energy and Climate Change (EC);2.12;EC8;Total carbon footprint divided by total campus' population (metric tons per person);[3] > 0.42 - 1.11 metric tons;200;0.50x200;No;N/A
